"","A1","A2","A3","A1","A2","A3"
"400",1,1,1,0.9889,0.8667,0.9958
"401",1,1,1,0.9857,0.9426,0.9656
"402",1,1,1,0.9969,0.9897,0.9985
"403",1,1,1,0.9868,0.9711,0.9844
"404",1,1,1,0.8482,0.5069,0.7334
"405",1,0,1,0.6882,0.477,0.5795
"406",1,0,1,0.9334,0.0755,0.9749
"407",1,0,1,0.9065,0.0289,0.8488
"408",1,1,0,0.7276,0.7431,0.2088
"409",1,0,1,0.6223,0.0548,0.8487
"410",1,1,1,0.7188,0.8313,0.9287
"411",0,1,0,0.4985,0.7579,0.4561
"412",1,1,1,0.9708,0.9825,0.9859
"413",1,0,1,0.9096,0.1583,0.9273
"414",1,0,1,0.9116,0.0778,0.8484
"415",1,1,1,0.9859,0.8788,0.9824
"416",1,1,1,0.9924,0.9746,0.9963
"417",1,1,1,0.8382,0.7917,0.8289
"418",1,0,1,0.6318,0.0487,0.8318
"419",1,0,1,0.9065,0.0419,0.8508
"420",1,1,1,0.9736,0.8477,0.986
"421",1,0,1,0.5656,0.2591,0.6801
"422",1,0,1,0.9427,0.4667,0.93
"423",1,1,1,0.9396,0.9155,0.9842
"424",1,1,0,0.8684,0.8776,0.4927
"425",1,1,1,0.8911,0.6194,0.675
"426",1,1,1,0.9969,0.9821,0.9928
"427",1,1,1,0.9951,0.964,0.9931
"428",1,0,1,0.7879,0.4011,0.7712
"429",1,1,1,0.9952,0.9721,0.996
"430",1,1,1,0.9924,0.9746,0.9963
"431",1,1,1,0.9962,0.9847,0.9745
"432",1,0,1,0.9041,0.0987,0.9416
"433",1,1,1,0.9185,0.9511,0.9766
"434",1,0,1,0.9483,0.4602,0.8431
"435",1,0,1,0.9265,0.3159,0.9409
"436",1,1,1,0.9815,0.9383,0.9943
"437",1,0,1,0.811,0.3396,0.6429
"438",1,1,0,0.6179,0.8304,0.2859
"439",1,0,1,0.5163,0.2609,0.7285
"440",1,1,1,0.9307,0.9099,0.926
"441",1,1,1,0.9135,0.9481,0.9583
"442",0,1,0,0.426,0.6039,0.1068
"443",1,1,1,0.9447,0.9668,0.926
"444",1,1,1,0.9891,0.9729,0.9838
"445",1,0,1,0.6225,0.0286,0.8497
"446",1,0,1,0.9315,0.019,0.9733
"447",1,0,0,0.671,0.0573,0.4642
"448",1,1,1,0.9877,0.9607,0.9554
"449",1,0,1,0.5582,0.4311,0.7911
"450",1,0,1,0.5892,0.2994,0.6357
"451",0,1,0,0.2406,0.6886,0.4924
"452",1,1,1,0.998,0.985,0.994
"453",1,1,0,0.6031,0.6164,0.2428
"454",1,0,1,0.5575,0.4244,0.7886
"455",1,1,1,0.9992,0.9974,0.9989
"456",1,1,1,0.6325,0.522,0.7936
